"date","precip"
"1915-03-01",0.32
"1915-04-01",0.55
"1915-05-01",2.44
"1915-06-01",3.94
"1915-07-01",6.18
"1915-08-01",3.7
"1915-09-01",2.58
"1915-10-01",4.1
"1915-11-01",1.1
"1915-12-01",2.9
"1916-01-01",0.81
"1916-02-01",2.97
"1916-03-01",2.28
"1916-04-01",2.77
"1916-05-01",4.27
"1916-06-01",3.48
"1916-07-01",1.29
"1916-08-01",1.5
"1916-09-01",5.65
"1916-10-01",1.59
"1916-11-01",1.53
"1916-12-01",1.13
"1917-01-01",1.82
"1917-02-01",0.7
"1917-03-01",1.59
"1917-04-01",1.83
"1917-05-01",4.41
"1917-06-01",7.35
"1917-07-01",3.25
"1917-08-01",8.45
"1917-09-01",2.22
"1917-10-01",4.84
"1917-11-01",0.64
"1917-12-01",2.48
"1918-01-01",1.83
"1918-02-01",1.48
"1918-03-01",2.58
"1918-04-01",3.54
"1918-05-01",4.49
"1918-06-01",3.05
"1918-07-01",4.55
"1918-08-01",3.79
"1918-09-01",5.78
"1918-10-01",2.89
"1918-11-01",0.95
"1918-12-01",2.48
"1919-01-01",1.83
"1919-02-01",1.48
"1919-03-01",2.58
"1919-04-01",2.32
"1919-05-01",5.31
"1919-06-01",2.01
"1919-07-01",3.08
"1919-08-01",2.34
"1919-09-01",1.58
"1919-10-01",2.76
"1919-11-01",1.77
"1919-12-01",2.48
"1920-01-01",1.83
"1920-02-01",1.48
"1920-03-01",2.58
"1920-04-01",2.23
"1920-05-01",1.14
"1920-06-01",1.84
"1920-07-01",4.5
"1920-08-01",5.1
"1920-09-01",3.13
"1920-10-01",2.27
"1920-11-01",0.34
"1920-12-01",2.48
"1921-01-01",1.83
"1921-02-01",1.48
"1921-03-01",2.58
"1921-04-01",2.57
"1921-05-01",2.49
"1921-06-01",2.62
"1921-07-01",5.15
"1921-08-01",3.89
"1921-09-01",2.46
"1921-10-01",2.51
"1921-11-01",2.48
"1921-12-01",1.83
"1922-01-01",1.48
"1922-02-01",2.58
"1922-03-01",2.23
"1922-04-01",1.42
"1922-05-01",3.09
"1922-06-01",6.52
"1922-07-01",1.7
"1922-08-01",8.37
"1922-09-01",1.79
"1922-10-01",1.91
"1922-11-01",2.48
"1922-12-01",1.83
"1923-01-01",1.48
"1923-02-01",2.58
"1923-03-01",2.23
"1923-04-01",1.42
"1923-05-01",2.46
"1923-06-01",2.03
"1923-07-01",2.89
"1923-08-01",0.54
"1923-09-01",3.02
"1923-10-01",3.37
"1923-11-01",1.93
"1923-12-01",1.83
"1924-01-01",1.48
"1924-02-01",2.58
"1924-03-01",2.23
"1924-04-01",1.42
"1924-05-01",3.5
"1924-06-01",2.71
"1924-07-01",3.99
"1924-08-01",3.71
"1924-09-01",6.83
"1924-10-01",0.39
"1924-11-01",0.26
"1924-12-01",1.83
"1925-01-01",1.48
"1925-02-01",2.58
"1925-03-01",2.23
"1925-04-01",1.56
"1925-05-01",2.75
"1925-06-01",4.91
"1925-07-01",5.81
"1925-08-01",2.11
"1925-09-01",3.91
"1925-10-01",2.71
"1925-11-01",0.26
"1925-12-01",1.83
"1926-01-01",2.54
"1926-02-01",3.4
"1926-03-01",1.73
"1926-04-01",1.84
"1926-05-01",1.92
"1926-06-01",3
"1926-07-01",2.71
"1926-08-01",4.05
"1926-09-01",4.23
"1926-10-01",3.21
"1926-11-01",3.96
"1926-12-01",2.68
"1927-01-01",1.01
"1927-02-01",2.66
"1927-03-01",1.8
"1927-04-01",3.17
"1927-05-01",4.03
"1927-06-01",0.87
"1927-07-01",3.68
"1927-08-01",2.1
"1927-09-01",1.26
"1927-10-01",7.13
"1927-11-01",6.41
"1927-12-01",2.92
"1928-01-01",0.98
"1928-02-01",2.05
"1928-03-01",2.33
"1928-04-01",3.64
"1928-05-01",2.9
"1928-06-01",5.86
"1928-07-01",2.84
"1928-08-01",3.04
"1928-09-01",1.22
"1928-10-01",2.59
"1928-11-01",3.19
"1928-12-01",0.13
"1929-01-01",1.98
"1929-02-01",1.65
"1929-03-01",2.78
"1929-04-01",6.34
"1929-05-01",5.47
"1929-06-01",2.42
"1929-07-01",4.73
"1929-08-01",5.27
"1929-09-01",2.42
"1929-10-01",4.2
"1929-11-01",1.74
"1929-12-01",2.87
"1930-01-01",1.66
"1930-02-01",1.45
"1930-03-01",3.92
"1930-04-01",2.46
"1930-05-01",3.49
"1930-06-01",6.85
"1930-07-01",3.75
"1930-08-01",1.49
"1930-09-01",2.07
"1930-10-01",1.41
"1930-11-01",0.59
"1930-12-01",1.79
"1931-01-01",1.64
"1931-02-01",1.34
"1931-03-01",2.16
"1931-04-01",2.48
"1931-05-01",4.48
"1931-06-01",1.75
"1931-07-01",2.73
"1931-08-01",1.3
"1931-09-01",2.99
"1931-10-01",0.99
"1931-11-01",1.07
"1931-12-01",3.06
"1932-01-01",2
"1932-02-01",1.67
"1932-03-01",4.55
"1932-04-01",1.36
"1932-05-01",3.46
"1932-06-01",2.97
"1932-07-01",3.83
"1932-08-01",2.61
"1932-09-01",1.17
"1932-10-01",4.75
"1932-11-01",2.26
"1932-12-01",0.68
"1933-01-01",0.44
"1933-02-01",1.34
"1933-03-01",3.26
"1933-04-01",2.5
